id,category,type,front,back,example,hint
v0562,"Treasury, Tax, Audit & Controls",Vocabulary,cash pooling,Cash Pooling,We need to participate in cash pooling before final approval is granted.,Fachbegriff
c0563,"Treasury, Tax, Audit & Controls",Collocation,participate in cash pooling,am Cash Pooling teilnehmen,We need to participate in cash pooling before final approval is granted.,Typische berufliche Wortverbindung
a0564,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „am Cash Pooling teilnehmen.“,participate in cash pooling,We need to participate in cash pooling before final approval is granted.,Aktive Anwendung
v0565,"Treasury, Tax, Audit & Controls",Vocabulary,intercompany loan,konzerninternes Darlehen,We need to document an intercompany loan before final approval is granted.,Fachbegriff
c0566,"Treasury, Tax, Audit & Controls",Collocation,document an intercompany loan,ein konzerninternes Darlehen dokumentieren,We need to document an intercompany loan before final approval is granted.,Typische berufliche Wortverbindung
a0567,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „ein konzerninternes Darlehen dokumentieren.“,document an intercompany loan,We need to document an intercompany loan before final approval is granted.,Aktive Anwendung
v0568,"Treasury, Tax, Audit & Controls",Vocabulary,interest expense,Zinsaufwand,We need to calculate interest expense before final approval is granted.,Fachbegriff
c0569,"Treasury, Tax, Audit & Controls",Collocation,calculate interest expense,den Zinsaufwand berechnen,We need to calculate interest expense before final approval is granted.,Typische berufliche Wortverbindung
a0570,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „den Zinsaufwand berechnen.“,calculate interest expense,We need to calculate interest expense before final approval is granted.,Aktive Anwendung
v0571,"Treasury, Tax, Audit & Controls",Vocabulary,interest income,Zinsertrag,We need to calculate interest income before final approval is granted.,Fachbegriff
c0572,"Treasury, Tax, Audit & Controls",Collocation,calculate interest income,den Zinsertrag berechnen,We need to calculate interest income before final approval is granted.,Typische berufliche Wortverbindung
a0573,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „den Zinsertrag berechnen.“,calculate interest income,We need to calculate interest income before final approval is granted.,Aktive Anwendung
v0574,"Treasury, Tax, Audit & Controls",Vocabulary,foreign exchange exposure,Fremdwährungsrisiko,We need to assess foreign exchange exposure before final approval is granted.,Fachbegriff
c0575,"Treasury, Tax, Audit & Controls",Collocation,assess foreign exchange exposure,das Fremdwährungsrisiko beurteilen,We need to assess foreign exchange exposure before final approval is granted.,Typische berufliche Wortverbindung
a0576,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „das Fremdwährungsrisiko beurteilen.“,assess foreign exchange exposure,We need to assess foreign exchange exposure before final approval is granted.,Aktive Anwendung
v0577,"Treasury, Tax, Audit & Controls",Vocabulary,hedging,Absicherung,We need to implement a hedging strategy before final approval is granted.,Fachbegriff
c0578,"Treasury, Tax, Audit & Controls",Collocation,implement a hedging strategy,eine Absicherungsstrategie umsetzen,We need to implement a hedging strategy before final approval is granted.,Typische berufliche Wortverbindung
a0579,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „eine Absicherungsstrategie umsetzen.“,implement a hedging strategy,We need to implement a hedging strategy before final approval is granted.,Aktive Anwendung
v0580,"Treasury, Tax, Audit & Controls",Vocabulary,withholding tax,Quellensteuer,We need to assess withholding tax before final approval is granted.,Fachbegriff
c0581,"Treasury, Tax, Audit & Controls",Collocation,assess withholding tax,die Quellensteuer beurteilen,We need to assess withholding tax before final approval is granted.,Typische berufliche Wortverbindung
a0582,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „die Quellensteuer beurteilen.“,assess withholding tax,We need to assess withholding tax before final approval is granted.,Aktive Anwendung
v0583,"Treasury, Tax, Audit & Controls",Vocabulary,deferred tax,latente Steuer,We need to recognise deferred tax before final approval is granted.,Fachbegriff
c0584,"Treasury, Tax, Audit & Controls",Collocation,recognise deferred tax,latente Steuern erfassen,We need to recognise deferred tax before final approval is granted.,Typische berufliche Wortverbindung
a0585,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „latente Steuern erfassen.“,recognise deferred tax,We need to recognise deferred tax before final approval is granted.,Aktive Anwendung
v0586,"Treasury, Tax, Audit & Controls",Vocabulary,current tax,tatsächliche Steuer,We need to calculate current tax before final approval is granted.,Fachbegriff
c0587,"Treasury, Tax, Audit & Controls",Collocation,calculate current tax,die tatsächliche Steuer berechnen,We need to calculate current tax before final approval is granted.,Typische berufliche Wortverbindung
a0588,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „die tatsächliche Steuer berechnen.“,calculate current tax,We need to calculate current tax before final approval is granted.,Aktive Anwendung
v0589,"Treasury, Tax, Audit & Controls",Vocabulary,tax provision,Steuerrückstellung,We need to calculate the tax provision before final approval is granted.,Fachbegriff
c0590,"Treasury, Tax, Audit & Controls",Collocation,calculate the tax provision,die Steuerrückstellung berechnen,We need to calculate the tax provision before final approval is granted.,Typische berufliche Wortverbindung
a0591,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „die Steuerrückstellung berechnen.“,calculate the tax provision,We need to calculate the tax provision before final approval is granted.,Aktive Anwendung
v0592,"Treasury, Tax, Audit & Controls",Vocabulary,tax return,Steuererklärung,We need to prepare the tax return before final approval is granted.,Fachbegriff
c0593,"Treasury, Tax, Audit & Controls",Collocation,prepare the tax return,die Steuererklärung erstellen,We need to prepare the tax return before final approval is granted.,Typische berufliche Wortverbindung
a0594,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „die Steuererklärung erstellen.“,prepare the tax return,We need to prepare the tax return before final approval is granted.,Aktive Anwendung
v0595,"Treasury, Tax, Audit & Controls",Vocabulary,external audit,externe Abschlussprüfung,We need to support the external audit before final approval is granted.,Fachbegriff
c0596,"Treasury, Tax, Audit & Controls",Collocation,support the external audit,die externe Abschlussprüfung unterstützen,We need to support the external audit before final approval is granted.,Typische berufliche Wortverbindung
a0597,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „die externe Abschlussprüfung unterstützen.“,support the external audit,We need to support the external audit before final approval is granted.,Aktive Anwendung
v0598,"Treasury, Tax, Audit & Controls",Vocabulary,audit evidence,Prüfungsnachweis,We need to provide audit evidence before final approval is granted.,Fachbegriff
c0599,"Treasury, Tax, Audit & Controls",Collocation,provide audit evidence,einen Prüfungsnachweis bereitstellen,We need to provide audit evidence before final approval is granted.,Typische berufliche Wortverbindung
a0600,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „einen Prüfungsnachweis bereitstellen.“,provide audit evidence,We need to provide audit evidence before final approval is granted.,Aktive Anwendung
v0601,"Treasury, Tax, Audit & Controls",Vocabulary,audit finding,Prüfungsfeststellung,We need to address an audit finding before final approval is granted.,Fachbegriff
c0602,"Treasury, Tax, Audit & Controls",Collocation,address an audit finding,eine Prüfungsfeststellung bearbeiten,We need to address an audit finding before final approval is granted.,Typische berufliche Wortverbindung
a0603,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „eine Prüfungsfeststellung bearbeiten.“,address an audit finding,We need to address an audit finding before final approval is granted.,Aktive Anwendung
v0604,"Treasury, Tax, Audit & Controls",Vocabulary,internal control,internes Kontrollsystem,We need to perform an internal control before final approval is granted.,Fachbegriff
c0605,"Treasury, Tax, Audit & Controls",Collocation,perform an internal control,eine interne Kontrolle durchführen,We need to perform an internal control before final approval is granted.,Typische berufliche Wortverbindung
a0606,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „eine interne Kontrolle durchführen.“,perform an internal control,We need to perform an internal control before final approval is granted.,Aktive Anwendung
v0607,"Treasury, Tax, Audit & Controls",Vocabulary,control deficiency,Kontrollschwäche,We need to remediate a control deficiency before final approval is granted.,Fachbegriff
c0608,"Treasury, Tax, Audit & Controls",Collocation,remediate a control deficiency,eine Kontrollschwäche beheben,We need to remediate a control deficiency before final approval is granted.,Typische berufliche Wortverbindung
a0609,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „eine Kontrollschwäche beheben.“,remediate a control deficiency,We need to remediate a control deficiency before final approval is granted.,Aktive Anwendung
v0610,"Treasury, Tax, Audit & Controls",Vocabulary,segregation of duties,Funktionstrennung,We need to ensure segregation of duties before final approval is granted.,Fachbegriff
c0611,"Treasury, Tax, Audit & Controls",Collocation,ensure segregation of duties,die Funktionstrennung sicherstellen,We need to ensure segregation of duties before final approval is granted.,Typische berufliche Wortverbindung
a0612,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „die Funktionstrennung sicherstellen.“,ensure segregation of duties,We need to ensure segregation of duties before final approval is granted.,Aktive Anwendung
v0613,"Treasury, Tax, Audit & Controls",Vocabulary,approval workflow,Freigabeworkflow,We need to follow the approval workflow before final approval is granted.,Fachbegriff
c0614,"Treasury, Tax, Audit & Controls",Collocation,follow the approval workflow,den Freigabeworkflow einhalten,We need to follow the approval workflow before final approval is granted.,Typische berufliche Wortverbindung
a0615,"Treasury, Tax, Audit & Controls",Active Recall,Formuliere professionell auf Englisch: „den Freigabeworkflow einhalten.“,follow the approval workflow,We need to follow the approval workflow before final approval is granted.,Aktive Anwendung
v0616,Procurement & Supply Chain,Vocabulary,procurement,Einkauf / Beschaffung,We need to define the procurement strategy before the contract is awarded.,Fachbegriff
c0617,Procurement & Supply Chain,Collocation,define the procurement strategy,die Beschaffungsstrategie festlegen,We need to define the procurement strategy before the contract is awarded.,Typische berufliche Wortverbindung
a0618,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „die Beschaffungsstrategie festlegen.“,define the procurement strategy,We need to define the procurement strategy before the contract is awarded.,Aktive Anwendung
v0619,Procurement & Supply Chain,Vocabulary,strategic sourcing,strategische Beschaffung,We need to conduct a strategic sourcing project before the contract is awarded.,Fachbegriff
c0620,Procurement & Supply Chain,Collocation,conduct a strategic sourcing project,ein strategisches Beschaffungsprojekt durchführen,We need to conduct a strategic sourcing project before the contract is awarded.,Typische berufliche Wortverbindung
a0621,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „ein strategisches Beschaffungsprojekt durchführen.“,conduct a strategic sourcing project,We need to conduct a strategic sourcing project before the contract is awarded.,Aktive Anwendung
v0622,Procurement & Supply Chain,Vocabulary,request for quotation,Angebotsanfrage,We need to issue a request for quotation before the contract is awarded.,Fachbegriff
c0623,Procurement & Supply Chain,Collocation,issue a request for quotation,eine Angebotsanfrage versenden,We need to issue a request for quotation before the contract is awarded.,Typische berufliche Wortverbindung
a0624,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „eine Angebotsanfrage versenden.“,issue a request for quotation,We need to issue a request for quotation before the contract is awarded.,Aktive Anwendung
v0625,Procurement & Supply Chain,Vocabulary,request for proposal,Aufforderung zur Angebotsabgabe,We need to issue a request for proposal before the contract is awarded.,Fachbegriff
c0626,Procurement & Supply Chain,Collocation,issue a request for proposal,eine Ausschreibung versenden,We need to issue a request for proposal before the contract is awarded.,Typische berufliche Wortverbindung
a0627,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „eine Ausschreibung versenden.“,issue a request for proposal,We need to issue a request for proposal before the contract is awarded.,Aktive Anwendung
v0628,Procurement & Supply Chain,Vocabulary,supplier,Lieferant,We need to evaluate a supplier before the contract is awarded.,Fachbegriff
c0629,Procurement & Supply Chain,Collocation,evaluate a supplier,einen Lieferanten bewerten,We need to evaluate a supplier before the contract is awarded.,Typische berufliche Wortverbindung
a0630,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „einen Lieferanten bewerten.“,evaluate a supplier,We need to evaluate a supplier before the contract is awarded.,Aktive Anwendung
v0631,Procurement & Supply Chain,Vocabulary,supplier evaluation,Lieferantenbewertung,We need to complete the supplier evaluation before the contract is awarded.,Fachbegriff
c0632,Procurement & Supply Chain,Collocation,complete the supplier evaluation,die Lieferantenbewertung abschließen,We need to complete the supplier evaluation before the contract is awarded.,Typische berufliche Wortverbindung
a0633,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „die Lieferantenbewertung abschließen.“,complete the supplier evaluation,We need to complete the supplier evaluation before the contract is awarded.,Aktive Anwendung
v0634,Procurement & Supply Chain,Vocabulary,supplier performance,Lieferantenleistung,We need to monitor supplier performance before the contract is awarded.,Fachbegriff
c0635,Procurement & Supply Chain,Collocation,monitor supplier performance,die Lieferantenleistung überwachen,We need to monitor supplier performance before the contract is awarded.,Typische berufliche Wortverbindung
a0636,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „die Lieferantenleistung überwachen.“,monitor supplier performance,We need to monitor supplier performance before the contract is awarded.,Aktive Anwendung
v0637,Procurement & Supply Chain,Vocabulary,framework agreement,Rahmenvertrag,We need to negotiate a framework agreement before the contract is awarded.,Fachbegriff
c0638,Procurement & Supply Chain,Collocation,negotiate a framework agreement,einen Rahmenvertrag verhandeln,We need to negotiate a framework agreement before the contract is awarded.,Typische berufliche Wortverbindung
a0639,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „einen Rahmenvertrag verhandeln.“,negotiate a framework agreement,We need to negotiate a framework agreement before the contract is awarded.,Aktive Anwendung
v0640,Procurement & Supply Chain,Vocabulary,purchase order,Bestellung,We need to create a purchase order before the contract is awarded.,Fachbegriff
c0641,Procurement & Supply Chain,Collocation,create a purchase order,eine Bestellung anlegen,We need to create a purchase order before the contract is awarded.,Typische berufliche Wortverbindung
a0642,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „eine Bestellung anlegen.“,create a purchase order,We need to create a purchase order before the contract is awarded.,Aktive Anwendung
v0643,Procurement & Supply Chain,Vocabulary,purchase requisition,Bestellanforderung,We need to approve a purchase requisition before the contract is awarded.,Fachbegriff
c0644,Procurement & Supply Chain,Collocation,approve a purchase requisition,eine Bestellanforderung genehmigen,We need to approve a purchase requisition before the contract is awarded.,Typische berufliche Wortverbindung
a0645,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „eine Bestellanforderung genehmigen.“,approve a purchase requisition,We need to approve a purchase requisition before the contract is awarded.,Aktive Anwendung
v0646,Procurement & Supply Chain,Vocabulary,lead time,Lieferzeit / Durchlaufzeit,We need to reduce the lead time before the contract is awarded.,Fachbegriff
c0647,Procurement & Supply Chain,Collocation,reduce the lead time,die Lieferzeit reduzieren,We need to reduce the lead time before the contract is awarded.,Typische berufliche Wortverbindung
a0648,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „die Lieferzeit reduzieren.“,reduce the lead time,We need to reduce the lead time before the contract is awarded.,Aktive Anwendung
v0649,Procurement & Supply Chain,Vocabulary,minimum order quantity,Mindestbestellmenge,We need to negotiate the minimum order quantity before the contract is awarded.,Fachbegriff
c0650,Procurement & Supply Chain,Collocation,negotiate the minimum order quantity,die Mindestbestellmenge verhandeln,We need to negotiate the minimum order quantity before the contract is awarded.,Typische berufliche Wortverbindung
a0651,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „die Mindestbestellmenge verhandeln.“,negotiate the minimum order quantity,We need to negotiate the minimum order quantity before the contract is awarded.,Aktive Anwendung
v0652,Procurement & Supply Chain,Vocabulary,total cost of ownership,Gesamtkosten über den Lebenszyklus,We need to calculate total cost of ownership before the contract is awarded.,Fachbegriff
c0653,Procurement & Supply Chain,Collocation,calculate total cost of ownership,die Gesamtkosten berechnen,We need to calculate total cost of ownership before the contract is awarded.,Typische berufliche Wortverbindung
a0654,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „die Gesamtkosten berechnen.“,calculate total cost of ownership,We need to calculate total cost of ownership before the contract is awarded.,Aktive Anwendung
v0655,Procurement & Supply Chain,Vocabulary,single sourcing,Einquellenbeschaffung,We need to assess the risk of single sourcing before the contract is awarded.,Fachbegriff
c0656,Procurement & Supply Chain,Collocation,assess the risk of single sourcing,das Risiko der Einquellenbeschaffung beurteilen,We need to assess the risk of single sourcing before the contract is awarded.,Typische berufliche Wortverbindung
a0657,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „das Risiko der Einquellenbeschaffung beurteilen.“,assess the risk of single sourcing,We need to assess the risk of single sourcing before the contract is awarded.,Aktive Anwendung
v0658,Procurement & Supply Chain,Vocabulary,dual sourcing,Zweiquellenbeschaffung,We need to implement a dual-sourcing strategy before the contract is awarded.,Fachbegriff
c0659,Procurement & Supply Chain,Collocation,implement a dual-sourcing strategy,eine Dual-Sourcing-Strategie umsetzen,We need to implement a dual-sourcing strategy before the contract is awarded.,Typische berufliche Wortverbindung
a0660,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „eine Dual-Sourcing-Strategie umsetzen.“,implement a dual-sourcing strategy,We need to implement a dual-sourcing strategy before the contract is awarded.,Aktive Anwendung
v0661,Procurement & Supply Chain,Vocabulary,supply disruption,Lieferunterbrechung,We need to mitigate a supply disruption before the contract is awarded.,Fachbegriff
c0662,Procurement & Supply Chain,Collocation,mitigate a supply disruption,eine Lieferunterbrechung abfedern,We need to mitigate a supply disruption before the contract is awarded.,Typische berufliche Wortverbindung
a0663,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „eine Lieferunterbrechung abfedern.“,mitigate a supply disruption,We need to mitigate a supply disruption before the contract is awarded.,Aktive Anwendung
v0664,Procurement & Supply Chain,Vocabulary,supplier dependency,Lieferantenabhängigkeit,We need to reduce supplier dependency before the contract is awarded.,Fachbegriff
c0665,Procurement & Supply Chain,Collocation,reduce supplier dependency,die Lieferantenabhängigkeit reduzieren,We need to reduce supplier dependency before the contract is awarded.,Typische berufliche Wortverbindung
a0666,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „die Lieferantenabhängigkeit reduzieren.“,reduce supplier dependency,We need to reduce supplier dependency before the contract is awarded.,Aktive Anwendung
v0667,Procurement & Supply Chain,Vocabulary,price negotiation,Preisverhandlung,We need to conduct a price negotiation before the contract is awarded.,Fachbegriff
c0668,Procurement & Supply Chain,Collocation,conduct a price negotiation,eine Preisverhandlung führen,We need to conduct a price negotiation before the contract is awarded.,Typische berufliche Wortverbindung
a0669,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „eine Preisverhandlung führen.“,conduct a price negotiation,We need to conduct a price negotiation before the contract is awarded.,Aktive Anwendung
v0670,Procurement & Supply Chain,Vocabulary,payment terms,Zahlungsbedingungen,We need to negotiate payment terms before the contract is awarded.,Fachbegriff
c0671,Procurement & Supply Chain,Collocation,negotiate payment terms,Zahlungsbedingungen verhandeln,We need to negotiate payment terms before the contract is awarded.,Typische berufliche Wortverbindung
a0672,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „Zahlungsbedingungen verhandeln.“,negotiate payment terms,We need to negotiate payment terms before the contract is awarded.,Aktive Anwendung
v0673,Procurement & Supply Chain,Vocabulary,delivery terms,Lieferbedingungen,We need to agree on delivery terms before the contract is awarded.,Fachbegriff
c0674,Procurement & Supply Chain,Collocation,agree on delivery terms,Lieferbedingungen vereinbaren,We need to agree on delivery terms before the contract is awarded.,Typische berufliche Wortverbindung
a0675,Procurement & Supply Chain,Active Recall,Formuliere professionell auf Englisch: „Lieferbedingungen vereinbaren.“,agree on delivery terms,We need to agree on delivery terms before the contract is awarded.,Aktive Anwendung
p0676,Meetings,Professional Phrase,Could you walk me through the process?,Könntest du mich durch den Prozess führen?,Use this when you need a structured explanation of a process.,Professionelle Formulierung
r0677,Meetings,Active Recall,Wie würdest du professionell sagen: „Könntest du mich durch den Prozess führen?“,Could you walk me through the process?,Use this when you need a structured explanation of a process.,Aktive berufliche Formulierung
s0678,Meetings,Situation,Use this when you need a structured explanation of a process.,Could you walk me through the process?,Könntest du mich durch den Prozess führen?,Passende Reaktion für die Situation
p0679,Meetings,Professional Phrase,Could you elaborate on that point?,Könntest du diesen Punkt näher erläutern?,Use this when an explanation is too brief.,Professionelle Formulierung
r0680,Meetings,Active Recall,Wie würdest du professionell sagen: „Könntest du diesen Punkt näher erläutern?“,Could you elaborate on that point?,Use this when an explanation is too brief.,Aktive berufliche Formulierung
s0681,Meetings,Situation,Use this when an explanation is too brief.,Could you elaborate on that point?,Könntest du diesen Punkt näher erläutern?,Passende Reaktion für die Situation
p0682,Meetings,Professional Phrase,Could you clarify what is still outstanding?,"Könntest du klären, was noch offen ist?",Use this when you need a precise status update.,Professionelle Formulierung
r0683,Meetings,Active Recall,"Wie würdest du professionell sagen: „Könntest du klären, was noch offen ist?“",Could you clarify what is still outstanding?,Use this when you need a precise status update.,Aktive berufliche Formulierung
s0684,Meetings,Situation,Use this when you need a precise status update.,Could you clarify what is still outstanding?,"Könntest du klären, was noch offen ist?",Passende Reaktion für die Situation
p0685,Meetings,Professional Phrase,Could you confirm who is responsible for this task?,"Könntest du bestätigen, wer für diese Aufgabe verantwortlich ist?",Use this to clarify ownership.,Professionelle Formulierung
r0686,Meetings,Active Recall,"Wie würdest du professionell sagen: „Könntest du bestätigen, wer für diese Aufgabe verantwortlich ist?“",Could you confirm who is responsible for this task?,Use this to clarify ownership.,Aktive berufliche Formulierung
s0687,Meetings,Situation,Use this to clarify ownership.,Could you confirm who is responsible for this task?,"Könntest du bestätigen, wer für diese Aufgabe verantwortlich ist?",Passende Reaktion für die Situation
p0688,Meetings,Professional Phrase,Could you confirm the expected completion date?,Könntest du den erwarteten Fertigstellungstermin bestätigen?,Use this to clarify timing without sounding demanding.,Professionelle Formulierung
r0689,Meetings,Active Recall,Wie würdest du professionell sagen: „Könntest du den erwarteten Fertigstellungstermin bestätigen?“,Could you confirm the expected completion date?,Use this to clarify timing without sounding demanding.,Aktive berufliche Formulierung
s0690,Meetings,Situation,Use this to clarify timing without sounding demanding.,Could you confirm the expected completion date?,Könntest du den erwarteten Fertigstellungstermin bestätigen?,Passende Reaktion für die Situation
p0691,Meetings,Professional Phrase,"From my understanding, the next step is to obtain approval.","Nach meinem Verständnis besteht der nächste Schritt darin, die Genehmigung einzuholen.",Use this to summarise the agreed next step.,Professionelle Formulierung
r0692,Meetings,Active Recall,"Wie würdest du professionell sagen: „Nach meinem Verständnis besteht der nächste Schritt darin, die Genehmigung einzuholen.“","From my understanding, the next step is to obtain approval.",Use this to summarise the agreed next step.,Aktive berufliche Formulierung
s0693,Meetings,Situation,Use this to summarise the agreed next step.,"From my understanding, the next step is to obtain approval.","Nach meinem Verständnis besteht der nächste Schritt darin, die Genehmigung einzuholen.",Passende Reaktion für die Situation
p0694,Meetings,Professional Phrase,Let me briefly summarise the current status.,Lass mich den aktuellen Stand kurz zusammenfassen.,Use this before presenting a concise status update.,Professionelle Formulierung
r0695,Meetings,Active Recall,Wie würdest du professionell sagen: „Lass mich den aktuellen Stand kurz zusammenfassen.“,Let me briefly summarise the current status.,Use this before presenting a concise status update.,Aktive berufliche Formulierung
s0696,Meetings,Situation,Use this before presenting a concise status update.,Let me briefly summarise the current status.,Lass mich den aktuellen Stand kurz zusammenfassen.,Passende Reaktion für die Situation
p0697,Meetings,Professional Phrase,The main issue at this stage is the missing documentation.,Das Hauptproblem in dieser Phase sind die fehlenden Unterlagen.,Use this to identify the key blocker objectively.,Professionelle Formulierung
r0698,Meetings,Active Recall,Wie würdest du professionell sagen: „Das Hauptproblem in dieser Phase sind die fehlenden Unterlagen.“,The main issue at this stage is the missing documentation.,Use this to identify the key blocker objectively.,Aktive berufliche Formulierung
s0699,Meetings,Situation,Use this to identify the key blocker objectively.,The main issue at this stage is the missing documentation.,Das Hauptproblem in dieser Phase sind die fehlenden Unterlagen.,Passende Reaktion für die Situation
p0700,Meetings,Professional Phrase,There are still a few open points that need to be clarified.,"Es gibt noch einige offene Punkte, die geklärt werden müssen.",Use this when several issues remain unresolved.,Professionelle Formulierung
r0701,Meetings,Active Recall,"Wie würdest du professionell sagen: „Es gibt noch einige offene Punkte, die geklärt werden müssen.“",There are still a few open points that need to be clarified.,Use this when several issues remain unresolved.,Aktive berufliche Formulierung
s0702,Meetings,Situation,Use this when several issues remain unresolved.,There are still a few open points that need to be clarified.,"Es gibt noch einige offene Punkte, die geklärt werden müssen.",Passende Reaktion für die Situation
p0703,Meetings,Professional Phrase,We should align on the timeline before proceeding.,"Wir sollten uns über den Zeitplan abstimmen, bevor wir fortfahren.",Use this to avoid inconsistent expectations.,Professionelle Formulierung
r0704,Meetings,Active Recall,"Wie würdest du professionell sagen: „Wir sollten uns über den Zeitplan abstimmen, bevor wir fortfahren.“",We should align on the timeline before proceeding.,Use this to avoid inconsistent expectations.,Aktive berufliche Formulierung
s0705,Meetings,Situation,Use this to avoid inconsistent expectations.,We should align on the timeline before proceeding.,"Wir sollten uns über den Zeitplan abstimmen, bevor wir fortfahren.",Passende Reaktion für die Situation
p0706,Meetings,Professional Phrase,I would like to raise one concern regarding the proposed approach.,Ich möchte ein Bedenken hinsichtlich des vorgeschlagenen Vorgehens ansprechen.,Use this to challenge a proposal professionally.,Professionelle Formulierung
r0707,Meetings,Active Recall,Wie würdest du professionell sagen: „Ich möchte ein Bedenken hinsichtlich des vorgeschlagenen Vorgehens ansprechen.“,I would like to raise one concern regarding the proposed approach.,Use this to challenge a proposal professionally.,Aktive berufliche Formulierung
s0708,Meetings,Situation,Use this to challenge a proposal professionally.,I would like to raise one concern regarding the proposed approach.,Ich möchte ein Bedenken hinsichtlich des vorgeschlagenen Vorgehens ansprechen.,Passende Reaktion für die Situation
p0709,Meetings,Professional Phrase,"From an accounting perspective, the proposed treatment appears reasonable.",Aus Accounting-Sicht erscheint die vorgeschlagene Behandlung plausibel.,Use this to give a qualified professional opinion.,Professionelle Formulierung
r0710,Meetings,Active Recall,Wie würdest du professionell sagen: „Aus Accounting-Sicht erscheint die vorgeschlagene Behandlung plausibel.“,"From an accounting perspective, the proposed treatment appears reasonable.",Use this to give a qualified professional opinion.,Aktive berufliche Formulierung
s0711,Meetings,Situation,Use this to give a qualified professional opinion.,"From an accounting perspective, the proposed treatment appears reasonable.",Aus Accounting-Sicht erscheint die vorgeschlagene Behandlung plausibel.,Passende Reaktion für die Situation
p0712,Meetings,Professional Phrase,We need to consider the legal and tax implications as well.,Wir müssen auch die rechtlichen und steuerlichen Auswirkungen berücksichtigen.,Use this when a topic requires cross-functional input.,Professionelle Formulierung
r0713,Meetings,Active Recall,Wie würdest du professionell sagen: „Wir müssen auch die rechtlichen und steuerlichen Auswirkungen berücksichtigen.“,We need to consider the legal and tax implications as well.,Use this when a topic requires cross-functional input.,Aktive berufliche Formulierung
s0714,Meetings,Situation,Use this when a topic requires cross-functional input.,We need to consider the legal and tax implications as well.,Wir müssen auch die rechtlichen und steuerlichen Auswirkungen berücksichtigen.,Passende Reaktion für die Situation
p0715,Onboarding,Professional Phrase,"I am not fully familiar with this process yet, but I will look into it.","Ich bin mit diesem Prozess noch nicht vollständig vertraut, werde es aber prüfen.",Use this when you are new and do not want to guess.,Professionelle Formulierung
r0716,Onboarding,Active Recall,"Wie würdest du professionell sagen: „Ich bin mit diesem Prozess noch nicht vollständig vertraut, werde es aber prüfen.“","I am not fully familiar with this process yet, but I will look into it.",Use this when you are new and do not want to guess.,Aktive berufliche Formulierung
s0717,Onboarding,Situation,Use this when you are new and do not want to guess.,"I am not fully familiar with this process yet, but I will look into it.","Ich bin mit diesem Prozess noch nicht vollständig vertraut, werde es aber prüfen.",Passende Reaktion für die Situation
p0718,Professional Confidence,Professional Phrase,I would prefer to verify this before giving you a definite answer.,"Ich würde das lieber prüfen, bevor ich dir eine endgültige Antwort gebe.",Use this instead of making an uncertain statement.,Professionelle Formulierung
